Gene ID	Gene Name	Design Element	g1_g2.p-value	g1_g2.t-statistic	g1_g2.log2foldchange
MIMAT0000705	MIMAT0000705	A_25_P00010284	0.115564704807788	2.57649319960067	0.322559861507761
MIMAT0000707	MIMAT0000707	A_25_P00010953	0.139013519150447	2.43461403148426	0.601980934996414
MIMAT0000707	MIMAT0000707	A_25_P00010954	0.123982092469677	2.52826088218558	0.653720010725623
MIMAT0000710	MIMAT0000710	A_25_P00010415	0.160825594662078	-2.30384259249077	-0.192109275851844
MIMAT0000710	MIMAT0000710	A_25_P00010416	0.358882404970529	-1.54512566517924	-0.287993520641908
MIMAT0000714	MIMAT0000714	A_25_P00010321	NA	2.02692420005227	0.0398706647444653
MIMAT0000714	MIMAT0000714	A_25_P00010322	NA	1.10339476257824	0.0242869339819176
MIMAT0000714	MIMAT0000714	A_25_P00010323	NA	2.36810813955614	0.0517187890870039
MIMAT0000714	MIMAT0000714	A_25_P00010324	NA	-0.256221482819165	-0.00544972832199875
MIMAT0000715	MIMAT0000715	A_25_P00010618	NA	1.9853917704874	0.038591386010304
MIMAT0000715	MIMAT0000715	A_25_P00010619	0.0901323371624048	2.7805541512241	0.0986101219393012
MIMAT0000715	MIMAT0000715	A_25_P00010620	0.586850533289921	0.879683205265757	0.0243524731713007
MIMAT0000715	MIMAT0000715	A_25_P00010621	0.191891529496552	2.14185261303708	0.0537297042214941
MIMAT0000716	MIMAT0000716	A_25_P00010505	NA	-1.11111894079432	-0.0158207434560653
MIMAT0000716	MIMAT0000716	A_25_P00010506	NA	-1.40383530206655	-0.0275210611584065
MIMAT0000717	MIMAT0000717	A_25_P00010536	0.139013519150447	2.428726377966	0.0592259388245227
MIMAT0000717	MIMAT0000717	A_25_P00010537	NA	1.92533447500641	0.0480812935428547
MIMAT0000717	MIMAT0000717	A_25_P00010538	0.876966037386404	-0.279286885231803	-0.00816512359098276
MIMAT0000718	MIMAT0000718	A_25_P00010162	0.336929549018858	1.60354036461225	0.150516234655488
MIMAT0000718	MIMAT0000718	A_25_P00010163	NA	0.633000716738316	0.0142289740381161
MIMAT0000718	MIMAT0000718	A_25_P00010164	NA	1.93865066638392	0.0426041315813901
MIMAT0000719	MIMAT0000719	A_25_P00010984	NA	1.53157366403033	0.0325962146406296
MIMAT0000719	MIMAT0000719	A_25_P00010985	NA	2.65677276501531	0.0523778478282306
MIMAT0000720	MIMAT0000720	A_25_P00010012	0.493629597404088	-1.14863778235303	-0.280054771317333
MIMAT0000720	MIMAT0000720	A_25_P00010013	0.820075018668192	-0.388881447226179	-0.0280344022315413
MIMAT0000721	MIMAT0000721	A_25_P00010023	0.826663993204746	0.371668806403445	0.0168515517545966
MIMAT0000722	MIMAT0000722	A_25_P00010541	0.307293276063452	1.70455333740259	0.578695095605113
MIMAT0000722	MIMAT0000722	A_25_P00010542	0.128199479581255	2.50820032702593	0.755262427496104
MIMAT0000722	MIMAT0000722	A_25_P00010543	0.0804479200860542	2.89634185067217	0.850201903787222
MIMAT0000722	MIMAT0000722	A_25_P00010544	0.0479778121902783	3.30514033936081	1.04679909255052
MIMAT0000723	MIMAT0000723	A_25_P00010160	NA	1.37393466584653	0.0277452596701053
MIMAT0000723	MIMAT0000723	A_25_P00010161	0.635077497844921	0.768577476770826	0.0272507276156961
MIMAT0000724	MIMAT0000724	A_25_P00010258	NA	1.51590493363435	0.0205909962776154
MIMAT0000724	MIMAT0000724	A_25_P00010259	NA	1.27190147372347	0.0241715909018003
MIMAT0000725	MIMAT0000725	A_25_P00010841	0.945353902742281	0.133605648231545	0.0213697079580761
MIMAT0000725	MIMAT0000725	A_25_P00010842	NA	-1.99548655432812	-0.0337947514042334
MIMAT0000726	MIMAT0000726	A_25_P00010155	0.252360177331146	1.91204625645699	0.051276149057343
MIMAT0000726	MIMAT0000726	A_25_P00010156	0.880291401863285	0.271783009388761	0.00859821373008174
MIMAT0000726	MIMAT0000726	A_25_P00010157	0.961209156095015	0.102750494557954	0.00329908376775023
MIMAT0000727	MIMAT0000727	A_25_P00010491	0.734165192445715	-0.560242168144709	-0.114788234750518
MIMAT0000727	MIMAT0000727	A_25_P00010492	0.871123817640613	-0.292215392900888	-0.0598963741781571
MIMAT0000727	MIMAT0000727	A_25_P00010493	0.981787286624214	-0.0470574487290805	-0.0101046118880479
MIMAT0000728	MIMAT0000728	A_25_P00010986	NA	0.526153132011046	0.012458532154465
MIMAT0000728	MIMAT0000728	A_25_P00010987	NA	-0.0158904450158707	-0.00022063900058189
MIMAT0000729	MIMAT0000729	A_25_P00010274	0.0921535597392255	-2.76005728603813	-0.932686597061922
MIMAT0000729	MIMAT0000729	A_25_P00010275	0.139013519150447	-2.42746558402091	-0.952741665673519
MIMAT0000729	MIMAT0000729	A_25_P00010276	0.173559569021643	-2.22685715245416	-0.509971006301759
MIMAT0000730	MIMAT0000730	A_25_P00010125	0.533378703841798	-1.00619643345926	-0.338853039293541
MIMAT0000730	MIMAT0000730	A_25_P00010126	0.744364876935076	-0.53381790482362	-0.0537125427986291
MIMAT0000732	MIMAT0000732	A_25_P00010151	0.512300493552662	1.08503214581076	0.210701659060565
MIMAT0000732	MIMAT0000732	A_25_P00010152	0.913808645127844	0.197184202777037	0.0192490106282683
MIMAT0000732	MIMAT0000732	A_25_P00010858	0.824035197960193	0.37757694006145	0.102671361642829
MIMAT0000732	MIMAT0000732	A_25_P00010859	0.589131799344647	0.872846268559938	0.196005258245615
MIMAT0000733	MIMAT0000733	A_25_P00010956	0.38167273252443	-1.45466872959779	-0.181329048729395
MIMAT0000733	MIMAT0000733	A_25_P00010957	0.266084564420571	-1.86738280038017	-0.140139978241961
MIMAT0000734	MIMAT0000734	A_25_P00010790	0.417064251819312	-1.36259589797981	-0.0360414105091822
MIMAT0000734	MIMAT0000734	A_25_P00010791	0.29879950809029	1.73765418086843	0.12414634809307
MIMAT0000734	MIMAT0000734	A_25_P00010792	NA	0.470594082885181	0.0126591747911222
MIMAT0000734	MIMAT0000734	A_25_P00010793	NA	0.975479586428562	0.0204599927052715
MIMAT0000735	MIMAT0000735	A_25_P00010099	0.375133213678066	1.48430525682189	0.0415252647914981
MIMAT0000735	MIMAT0000735	A_25_P00010100	NA	2.10177099807327	0.0370039480644984
MIMAT0000736	MIMAT0000736	A_25_P00010182	0.981924305406404	-0.0362962918984581	-0.00603006739938472
MIMAT0000736	MIMAT0000736	A_25_P00010183	NA	-0.270601326592875	-0.00723775257539927
MIMAT0000737	MIMAT0000737	A_25_P00010585	0.477703607814747	-1.18237369686141	-0.346806538318114
MIMAT0000737	MIMAT0000737	A_25_P00010586	0.160825594662078	-2.29405886640671	-0.221635608149578
